,censusTract,Year,City,CommunityName,Detailed_Name,SPA,SD,CD,SSD,AD,DemogSurveySample,YouthCountSample,totStreetSingAdult,totStreetFamHH,totStreetFamMemb,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,totYouthIndiv,totYouthUnaccKid,totYouthFamHH,totYouthFamMemb,totEsAdultSingAdult,totESAdultFamHH,totEsAdultFamMemb,totEsYouthSingYouth,totESYouthFamHH,totEsYouthFamMemb,totEsYouthUnaccYouth,totThAdultSingAdult,totTHAdultFamHH,totThAdultFamMemb,totThYouthSingYouth,totTHYouthFamHH,totThYouthFamMemb,totThYouthUnaccYouth,totShAdultSingAdult,totSHAdultFamHH,totShAdultFamMemb,totShYouthSingYouth,totSHYouthFamHH,totShYouthFamMemb,totShYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople,ZCTA5,STATE,COUNTY,TRACT,GEOID,POPPT,HUPT,AREAPT, AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,TRPOP,TRHU,TRAREA,TRAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,TRPOPPCT,TRHUPCT,TRAREAPCT,TRAREALANDPCT
0,221500,2016,Los Angeles,Adams,Empowerment Congress North NC,6,2,8,30,53,No,No,8,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,90018.0,6.0,37.0,221500.0,6037221500.0,3507.0,1244.0,380722.0,380722.0,49310.0,16658.0,7500313.0,7500313.0,3507.0,1244.0,380722.0,380722.0,7.11,7.47,5.08,5.08,100.0,100.0,100.0,100.0
1,221601,2016,Los Angeles,Adams,Empowerment Congress North NC,6,2,8,30,53,No,No,5,0,0,0,1,4,0,4,0,2,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,90007.0,6.0,37.0,221601.0,6037221601.0,3403.0,940.0,369897.0,369897.0,40920.0,12762.0,6387018.0,6387018.0,3403.0,940.0,369897.0,369897.0,8.32,7.37,5.79,5.79,100.0,100.0,100.0,100.0
2,221710,2016,Los Angeles,Adams,Empowerment Congress North NC,6,1,8,30,59,No,No,4,0,0,1,1,4,0,1,2,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,90007.0,6.0,37.0,221710.0,6037221710.0,2621.0,941.0,327957.0,327957.0,40920.0,12762.0,6387018.0,6387018.0,2621.0,941.0,327957.0,327957.0,6.41,7.37,5.13,5.13,100.0,100.0,100.0,100.0
3,221810,2016,Los Angeles,Adams,Empowerment Congress North NC,6,2,8,30,59,No,Yes,4,0,0,1,5,7,0,1,2,9,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,90007.0,6.0,37.0,221810.0,6037221810.0,2773.0,1048.0,304336.0,304336.0,40920.0,12762.0,6387018.0,6387018.0,2773.0,1048.0,304336.0,304336.0,6.78,8.21,4.76,4.76,100.0,100.0,100.0,100.0
4,221820,2016,Los Angeles,Adams,Empowerment Congress North NC,6,2,9,30,59,No,No,1,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,90007.0,6.0,37.0,221820.0,6037221820.0,3095.0,1188.0,204263.0,204263.0,40920.0,12762.0,6387018.0,6387018.0,3095.0,1188.0,204263.0,204263.0,7.56,9.31,3.2,3.2,100.0,100.0,100.0,100.0
5,221900,2016,Los Angeles,Adams,Empowerment Congress North NC,6,2,9,30,59,No,No,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,90007.0,6.0,37.0,221900.0,6037221900.0,3664.0,1098.0,409739.0,409739.0,40920.0,12762.0,6387018.0,6387018.0,3664.0,1098.0,409739.0,409739.0,8.95,8.6,6.42,6.42,100.0,100.0,100.0,100.0
6,222001,2016,Los Angeles,Adams,Empowerment Congress North NC,6,2,10,30,54,No,No,7,0,0,1,0,2,1,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,90018.0,6.0,37.0,222001.0,6037222001.0,3237.0,910.0,474298.0,474298.0,49310.0,16658.0,7500313.0,7500313.0,3237.0,910.0,474298.0,474298.0,6.56,5.46,6.32,6.32,100.0,100.0,100.0,100.0
7,222002,2016,Los Angeles,Adams,Empowerment Congress North NC,6,2,8,30,54,No,No,3,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,90018.0,6.0,37.0,222002.0,6037222002.0,4655.0,1355.0,655700.0,655700.0,49310.0,16658.0,7500313.0,7500313.0,4655.0,1355.0,655700.0,655700.0,9.44,8.13,8.74,8.74,100.0,100.0,100.0,100.0
8,222100,2016,Los Angeles,Adams,Empowerment Congress North NC,6,2,8,30,59,No,No,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,90007.0,6.0,37.0,222100.0,6037222100.0,1964.0,586.0,183313.0,183313.0,40920.0,12762.0,6387018.0,6387018.0,3877.0,1166.0,478935.0,478935.0,4.8,4.59,2.87,2.87,50.66,50.26,38.28,38.28
9,222100,2016,Los Angeles,Adams,Empowerment Congress North NC,6,2,8,30,59,No,No,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,90018.0,6.0,37.0,222100.0,6037222100.0,1913.0,580.0,295622.0,295622.0,49310.0,16658.0,7500313.0,7500313.0,3877.0,1166.0,478935.0,478935.0,3.88,3.48,3.94,3.94,49.34,49.74,61.72,61.72
10,222200,2016,Los Angeles,Adams,Empowerment Congress North NC,6,2,8,30,59,No,No,2,0,0,1,0,1,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,90007.0,6.0,37.0,222200.0,6037222200.0,1895.0,551.0,183454.0,183454.0,40920.0,12762.0,6387018.0,6387018.0,3965.0,1258.0,481869.0,481869.0,4.63,4.32,2.87,2.87,47.79,43.8,38.07,38.07
11,222200,2016,Los Angeles,Adams,Empowerment Congress North NC,6,2,8,30,59,No,No,2,0,0,1,0,1,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,90018.0,6.0,37.0,222200.0,6037222200.0,2070.0,707.0,298415.0,298415.0,49310.0,16658.0,7500313.0,7500313.0,3965.0,1258.0,481869.0,481869.0,4.2,4.24,3.98,3.98,52.21,56.2,61.93,61.93
12,222500,2016,Los Angeles,Adams,Empowerment Congress North NC,6,2,8,30,59,No,No,1,0,0,1,0,1,6,0,2,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,90018.0,6.0,37.0,222500.0,6037222500.0,4963.0,1347.0,652465.0,652465.0,49310.0,16658.0,7500313.0,7500313.0,4963.0,1347.0,652465.0,652465.0,10.06,8.09,8.7,8.7,100.0,100.0,100.0,100.0
13,222600,2016,Los Angeles,Adams,Empowerment Congress North NC,6,2,8,30,59,No,No,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,90007.0,6.0,37.0,222600.0,6037222600.0,5631.0,1813.0,651938.0,651938.0,40920.0,12762.0,6387018.0,6387018.0,5631.0,1813.0,651938.0,651938.0,13.76,14.21,10.21,10.21,100.0,100.0,100.0,100.0
